Nombre del producto,Precio
LAPTOP Celeron J4115 CHUWI Gemibook 12|256|13 W11 ULTRA SLIM,$ 220.00 ó S/ 825.00
LAPTOP Celeron N3450 CHUWI Herobook Pro 8|256|13.3 W11 ULTRA SLIM,$ 190.00 ó S/ 712.50
LAPTOP Celeron N4100 HP 240 G7 4|1TB|14,"$ 299.00 ó S/ 1,121.00"
LAPTOP Celeron J4115 CHUWI Gemibook 12|256|13 W11 ULTRA SLIM,$ 220.00 ó S/ 825.00
LAPTOP Celeron N3450 CHUWI Herobook Pro 8|256|13.3 W11 ULTRA SLIM,$ 190.00 ó S/ 712.50
LAPTOP Celeron N4020 LENOVO ThinkPad 300E Chromebook 4/32/11.6 Chrome Pantalla Táctil,"$ 325.00 ó S/ 1,218.50"
LAPTOP Celeron N4100 HP 240 G7 4|1TB|14,"$ 299.00 ó S/ 1,121.00"
LAPTOP Core i3-1005G1 HP 240 G8 8|1TB|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-1005G1 HP 240 G8 8|256|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-1215U LENOVO IdeaPad 3 8|512|15.6,"$ 325.00 ó S/ 1,218.50"
"LAPTOP Core i3-N305 ASUS Vivobook Go 15 E1504GA-NJ191 8|256|15.6""","$ 310.00 ó S/ 1,162.50"
LAPTOP Core i3-1005G1 HP 240 G8 8|1TB|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-1005G1 HP 240 G8 8|256|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-10110U DELL Latitude 3410 4|1TB|14,"$ 499.00 ó S/ 1,871.00"
"LAPTOP Core i5-11400H GIGABYTE G5 16|512|15.6"" GEFORCE RTX 3060 6GB W11","$ 1,499.00 ó S/ 5,621.00"
"LAPTOP Core i5-11400H GIGABYTE G5 16|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,290.00 ó S/ 4,837.50"
